"respondent_id","age","income","visits_per_week","gender","work_status","Consume high-quality coffee for satisfaction","Obtain coffee quickly during time constraints","Secure comfortable space for extended stays","Access internet connectivity while away from home","Accumulate rewards through repeat purchases","Place orders remotely to avoid waiting","Acquire fresh food alongside coffee","Access coffee within daily travel patterns","Purchase coffee during off-peak hours","Support businesses aligned with personal values","Receive guidance for optimal coffee selection","Purchase coffee within financial limits","Find quiet space for focused activities","Choose from options matching current preferences","Experience service in hygienic conditions","prediction_accuracy","rlh","quality_rating"
1,31,69000,4,"Male","Full-time",18.5552816994237,0.625079996300323,1.40728611702937,3.42390905050769,13.8958877490951,0.920990480066623,7.3408000747038,12.6588030419254,3.28963014499949,2.56690579937604,13.0156307915597,4.83066079221302,5.5643524800941,2.70477844540554,9.20000333730004,0.8125,0.5875,"Excellent"
2,33,88000,4,"Male","Part-time",15.1441191133299,1.29397195283104,1.66991073708599,3.30329644755024,16.152146729483,1.40597498708656,5.35064966694857,16.744305824006,3.10796974373337,1.84112027743818,13.0682227001872,7.50493204593686,1.84642537117782,3.2122500353838,8.35470436782151,0.9375,0.6625,"Excellent"
3,47,66000,6,"Female","Full-time",13.7223933484182,1.57386482184547,1.44173132177092,5.48107710965026,9.27004170936328,0.728931419244,5.70785133267192,21.3409603842005,4.52008076469429,2.44378274938603,14.9832270868017,4.08244454559984,1.81703618720576,2.09870342736251,10.7878737917853,0.9375,0.6625,"Excellent"
4,36,63000,7,"Male","Full-time",16.8070047996045,0.310826168467791,1.45310091019658,3.47249602048619,10.4547225966999,1.03501327171653,10.0459986274103,16.5712866781706,5.28822317386694,1.86595230318075,16.3837742803645,6.80560230559655,2.33807406098068,2.47054214685519,4.69738265640304,0.875,0.625,"Excellent"
5,36,41000,4,"Female","Full-time",16.6871300596647,1.0732924103543,1.64004380233257,5.23838440452405,13.9652587337485,0.263763316150994,1.99496009493232,15.8687106879364,3.44407055896614,2.41006827094971,13.7907419537338,7.85908262553961,1.69934370904643,6.86713481218371,7.19801455993668,0.875,0.625,"Excellent"
6,49,71000,4,"Female","Full-time",12.2255508023205,0.574624928387914,2.02634285212249,1.83627813341061,15.9088696420241,1.57986412028845,7.46124236282352,19.732315810336,5.60398437590091,4.90148673747462,11.0883959315504,5.85383065586239,0.265047322531755,2.56887112402099,8.37329520094545,0.875,0.625,"Excellent"
7,39,125000,10,"Male","Full-time",14.3343730076356,1.37890740566686,1.35811262492251,4.25343300388492,9.63940437063545,0.209821516196204,7.24432475037645,20.9265443515619,4.31656031062651,1.24723813894192,12.3909022045976,7.8394953296709,3.01791070371317,3.86145889552146,7.98151338604851,0.8125,0.5875,"Excellent"
8,25,95000,3,"Male","Part-time",16.7154546893956,5.97880135728122,1.57394666693696,3.1049805003829,11.8378028307347,0.578436638241425,5.76449032353911,22.5986356385827,5.69476199406578,2.79519916099888,11.2916875715448,6.37328133842437,0.696574432246635,2.75656004448378,2.23938681314113,0.875,0.625,"Excellent"
9,30,109000,1,"Male","Full-time",14.8930218846617,2.15120299767139,1.22583149771615,2.85978971092613,16.5325239034918,1.6259864602445,4.72723716478729,13.1076410845027,4.08635336614683,1.79534928184869,16.5201592106442,4.5594023699496,2.89382900547834,2.44212020193895,10.5795518599918,0.75,0.55,"Excellent"
10,31,93000,4,"Male","Full-time",18.7040109257947,2.2112716696557,0.959580108644912,2.12595815409324,8.84246688392596,1.29665856574906,10.1214269743567,11.9347623884799,4.39082362735989,3.00154025293869,16.6919878057405,6.40898938670255,1.57974221275612,3.44970215674289,8.28107888705909,0.875,0.625,"Excellent"
